sepal.length,sepal.width,petal.length,petal.width,target,variety,R,G,B,trunk
5.2,2.7,3.9,1.4,1,Versicolor,147,114,223,5
5,2,3.5,1,1,Versicolor,140,112,221,5
5.9,3,4.2,1.5,1,Versicolor,150,108,222,3
6,2.2,4,1,1,Versicolor,147,111,218,4
6.1,2.9,4.7,1.4,1,Versicolor,143,114,218,5
5.6,2.9,3.6,1.3,1,Versicolor,145,112,224,5
6.7,3.1,4.4,1.4,1,Versicolor,147,110,221,4
5.6,3,4.5,1.5,1,Versicolor,141,108,224,3
5.8,2.7,4.1,1,1,Versicolor,140,113,224,4
6.2,2.2,4.5,1.5,1,Versicolor,148,113,218,5
5.6,2.5,3.9,1.1,1,Versicolor,147,110,219,5
5.9,3.2,4.8,1.8,1,Versicolor,150,109,224,5
6.1,2.8,4,1.3,1,Versicolor,147,110,217,4
6.3,2.5,4.9,1.5,1,Versicolor,148,115,223,4
6.1,2.8,4.7,1.2,1,Versicolor,142,110,219,5
6.4,2.9,4.3,1.3,1,Versicolor,141,112,217,3
6.6,3,4.4,1.4,1,Versicolor,141,109,221,4
6.8,2.8,4.8,1.4,1,Versicolor,142,110,219,3
6.7,3,5,1.7,1,Versicolor,144,112,220,4
6,2.9,4.5,1.5,1,Versicolor,150,111,217,3
5.7,2.6,3.5,1,1,Versicolor,143,115,221,3
5.5,2.4,3.8,1.1,1,Versicolor,141,112,220,3
5.5,2.4,3.7,1,1,Versicolor,148,111,220,4
5.8,2.7,3.9,1.2,1,Versicolor,148,113,224,5
6,2.7,5.1,1.6,1,Versicolor,146,108,223,4
5.4,3,4.5,1.5,1,Versicolor,140,113,222,3
6,3.4,4.5,1.6,1,Versicolor,150,108,220,4
6.7,3.1,4.7,1.5,1,Versicolor,140,115,222,5
6.3,2.3,4.4,1.3,1,Versicolor,150,114,215,3
5.6,3,4.1,1.3,1,Versicolor,148,113,220,4
5.5,2.5,4,1.3,1,Versicolor,150,111,225,3
5.5,2.6,4.4,1.2,1,Versicolor,142,112,215,5
6.1,3,4.6,1.4,1,Versicolor,142,111,220,3
5.8,2.6,4,1.2,1,Versicolor,150,113,216,3
5,2.3,3.3,1,1,Versicolor,149,109,217,3
5.6,2.7,4.2,1.3,1,Versicolor,144,114,221,4
5.7,3,4.2,1.2,1,Versicolor,146,112,224,4
5.7,2.9,4.2,1.3,1,Versicolor,144,108,225,4
6.2,2.9,4.3,1.3,1,Versicolor,150,110,218,5
5.1,2.5,3,1.1,1,Versicolor,144,114,225,4
5.7,2.8,4.1,1.3,1,Versicolor,142,112,221,4
6.3,3.3,6,2.5,2,Virginica,146,5,207,3
5.8,2.7,5.1,1.9,2,Virginica,148,10,211,4
7.1,3,5.9,2.1,2,Virginica,148,1,208,3
6.3,2.9,5.6,1.8,2,Virginica,141,0,205,5
6.5,3,5.8,2.2,2,Virginica,149,6,215,5
7.6,3,6.6,2.1,2,Virginica,145,2,211,3
4.9,2.5,4.5,1.7,2,Virginica,150,2,207,3
7.3,2.9,6.3,1.8,2,Virginica,149,3,205,5
6.7,2.5,5.8,1.8,2,Virginica,145,7,209,3
7.2,3.6,6.1,2.5,2,Virginica,145,6,211,4
6.5,3.2,5.1,2,2,Virginica,148,6,213,4
6.4,2.7,5.3,1.9,2,Virginica,148,8,209,3
6.8,3,5.5,2.1,2,Virginica,147,10,208,3
5.7,2.5,5,2,2,Virginica,142,10,205,4
5.8,2.8,5.1,2.4,2,Virginica,149,4,213,4
6.4,3.2,5.3,2.3,2,Virginica,147,1,214,3
6.5,3,5.5,1.8,2,Virginica,142,5,205,4
7.7,3.8,6.7,2.2,2,Virginica,146,5,213,3
7.7,2.6,6.9,2.3,2,Virginica,140,7,214,5
6,2.2,5,1.5,2,Virginica,147,3,213,3
6.9,3.2,5.7,2.3,2,Virginica,142,6,205,3
5.6,2.8,4.9,2,2,Virginica,143,5,214,5
7.7,2.8,6.7,2,2,Virginica,141,3,214,5
6.3,2.7,4.9,1.8,2,Virginica,144,7,208,4
6.7,3.3,5.7,2.1,2,Virginica,144,10,210,3
7.2,3.2,6,1.8,2,Virginica,146,7,208,3
6.2,2.8,4.8,1.8,2,Virginica,147,9,207,3
6.1,3,4.9,1.8,2,Virginica,143,9,212,3
6.4,2.8,5.6,2.1,2,Virginica,147,4,210,5
7.2,3,5.8,1.6,2,Virginica,143,7,212,4
7.4,2.8,6.1,1.9,2,Virginica,142,8,213,4
7.9,3.8,6.4,2,2,Virginica,148,3,215,3
6.4,2.8,5.6,2.2,2,Virginica,142,0,206,5
6.3,2.8,5.1,1.5,2,Virginica,148,5,209,4
6.1,2.6,5.6,1.4,2,Virginica,145,9,213,3
7.7,3,6.1,2.3,2,Virginica,141,6,209,4
6.3,3.4,5.6,2.4,2,Virginica,147,3,213,4
6.4,3.1,5.5,1.8,2,Virginica,140,10,208,3
6,3,4.8,1.8,2,Virginica,142,4,214,3
6.9,3.1,5.4,2.1,2,Virginica,145,10,208,4
6.7,3.1,5.6,2.4,2,Virginica,149,1,211,3
6.9,3.1,5.1,2.3,2,Virginica,149,9,213,4
5.8,2.7,5.1,1.9,2,Virginica,150,0,213,4
6.8,3.2,5.9,2.3,2,Virginica,147,3,210,4
6.7,3.3,5.7,2.5,2,Virginica,141,4,215,5
6.7,3,5.2,2.3,2,Virginica,143,2,207,4
6.3,2.5,5,1.9,2,Virginica,140,5,209,3
6.5,3,5.2,2,2,Virginica,143,1,210,5
6.2,3.4,5.4,2.3,2,Virginica,144,3,208,4
5.9,3,5.1,1.8,2,Virginica,142,3,211,5
